title,body,labels,status,milestones
[40pt] Project Management,Ultimately drive the completion of the effort and communicate about the status clearly and proactively,task,open,version 0.1
[20pt] Direction,Offer direction to task assignees and clarify any pending questions,task,open,version 0.1
[20pt] Asset Bundling,Quality assurance Asset Bundling,task,open,version 0.1
[90pt] Development Testing,Quality assurance Development Testing,task,open,version 0.1
[90pt] Functionality Testing,Quality assurance Functionality Testing,task,open,version 0.1
[10pt] Pipeline Integration,Quality assurance Pipeline Integration,task,open,version 0.1
[10pt] Platform-Specific - AMD,Quality assurance Platform-Specific - AMD,task,open,version 0.1
[10pt] Platform-Specific - Nvidia,Quality assurance Platform-Specific - Nvidia,task,open,version 0.1
[10pt] Platform-Specific - PlayStation 4,Quality assurance Platform-Specific - PlayStation 4,task,open,version 0.1
[10pt] Platform-Specific - PlayStation 5,Quality assurance Platform-Specific - PlayStation 5,task,open,version 0.1
[10pt] Platform-Specific - XBox One,Quality assurance Platform-Specific - XBox One,task,open,version 0.1
[10pt] Platform-Specific - XBox Series X,Quality assurance Platform-Specific - XBox Series X,task,open,version 0.1
[30pt] Release Verification,Quality assurance Release Verification,task,open,version 0.1
[20pt] Test Coordination,Quality assurance Test Coordination,task,open,version 0.1
[20pt] Tool Development,Quality assurance Tool Development,task,open,version 0.1
[30pt] Unit Testing,Quality assurance Unit Testing,task,open,version 0.1
[30pt] Localization,Quality assurance Localization,task,open,version 0.1
[5pt] Web Development - Alpha Testing,Quality assurance Web Development - Alpha Testing,task,open,version 0.1
[5pt] Web Development - Beta Testing,Quality assurance Web Development - Beta Testing,task,open,version 0.1
[20pt] Web Development - Early Access,Quality assurance Web Development - Early Access,task,open,version 0.1
[20pt] Web Development - Launch,Quality assurance Web Development - Launch,task,open,version 0.1
[10pt] Web Development - Steam Keys,Quality assurance Web Development - Steam Keys,task,open,version 0.1
[100pt] Alpha Testing,Quality assurance Alpha Testing,task,open,version 0.1
[100pt] Beta Testing,Quality assurance Beta Testing,task,open,version 0.1
[100pt] Early Access,Quality assurance Early Access,task,open,version 0.1
[100pt] Release Testing,Quality assurance Release Testing,task,open,version 0.1
[40pt] Support - Early-Access Game Support,Support customer issues in the Early-Access period,task,open,version 0.1
[80pt] Support - Launch Game Support,Support customer issues in the Launch Game period,task,open,version 0.1
[150pt] Support - Post-Launch Game Support,Support customer issues in the Post-Launch period,task,open,version 0.1
